year,state,county,age,sex,race,ethnicity,cause,intent,deaths
2001,1,1,7,1,1,1,208301,1,3
2001,1,1,20,1,1,1,209601,1,5
2001,1,1,23,2,1,1,209401,1,6
2001,1,1,36,1,1,1,208901,1,3
2001,1,1,37,1,1,1,209401,1,2
2001,1,1,44,2,2,1,210401,1,5
2001,1,1,53,1,1,1,210902,2,2
2001,1,1,53,1,1,1,211201,1,5
2001,1,1,59,2,1,1,209601,1,5
2001,1,1,64,2,2,1,210401,1,5
2001,1,1,65,1,1,1,208401,1,4
2001,1,1,66,2,1,1,209601,1,2
2001,1,1,76,1,1,1,211701,1,2
2001,1,1,82,2,1,1,209401,1,3
2001,1,1,88,2,1,1,208401,1,4
2002,1,1,16,1,1,1,211751,1,6
2002,1,1,16,2,1,1,209601,1,3
2002,1,1,19,1,1,1,209601,1,2
2002,1,1,19,1,1,2,208401,1,2
2002,1,1,26,1,1,1,209401,1,3
2002,1,1,28,1,1,1,209401,1,3
2002,1,1,30,1,1,1,211702,2,4
2002,1,1,33,2,1,1,211701,1,3
2002,1,1,36,1,1,1,209601,1,7
2002,1,1,41,1,1,1,208601,1,5
2002,1,1,46,1,1,1,209601,1,3
2002,1,1,48,2,1,1,208902,2,3
2002,1,1,50,1,2,1,208903,3,2
2002,1,1,53,2,1,1,209401,1,6